case_id,t_state,t_county,p_name,p_year,p_tnum,t_manu,t_model,t_cap,t_ttlh,xlong,ylat,Range
3052662,IA,Adams County,Adams,2016,60,Siemens,SWT-2.3-108,2415,134.1,-94.728088,40.916672,2000 - 3000
3015354,NE,Brown County,Ainsworth Wind Project (NPPD),2005,36,Vestas,V82-1.65,1650,110.9,-99.941193,42.469291999999996,1000 - 2000
3028284,PA,Cambria County,Allegheny Ridge,2007,40,Gamesa,G87-2.0,2000,121.6,-78.587296,40.389294,2000 - 3000
3036499,CA,Kern County,Alta I,2010,100,GE Wind,GE1.5-77,1500,118.6,-118.358185,35.037193,1000 - 2000
3001119,CA,Riverside County,Alta Mesa 1 and 2,1988,115,Danwin,23_160,160,34.5,-116.664185,33.943794,< 1000
3028164,PA,Bradford County,Armenia Mountain,2009,67,GE Wind,GE1.5-77,1500,118.6,-76.881599,41.771893,1000 - 2000
3034917,ND,Burleigh County,Baldwin,2010,64,GE Wind,GE1.6-82.5,1600,121.3,-100.66909,47.074593,1000 - 2000
3069789,PA,Luzerne County,Bear Creek,2006,12,Gamesa,G87-2.0,2000,121.6,-75.744621,41.237854,2000 - 3000
3077979,IA,Boone County,Beaver Creek,2017,85,Vestas,V110-2.0,2000,150.0,-94.141769,42.120102,2000 - 3000
3031944,MA,Berkshire County,Berkshire Wind,2011,10,GE Wind,GE1.5-77,1500,118.6,-73.275497,42.57999,1000 - 2000
3034429,MA,Berkshire County,Berkshire Wind,2011,10,GE Wind,GE1.5-77,1500,118.6,-73.273499,42.59449,1000 - 2000
3019130,WA,Klickitat County,Big Horn,2006,133,GE Wind,GE1.5-77,1500,118.6,-120.296989,45.872093,1000 - 2000
3019101,WA,Klickitat County,Big Horn,2006,133,GE Wind,GE1.5-77,1500,118.6,-120.25718700000002,45.883595,1000 - 2000
3018185,IL,Lee County,Big Sky Wind,2011,114,Suzlon,S88,2100,124.1,-89.418091,41.602692,2000 - 3000
3011647,TX,Howard County,Big Spring I,1999,42,Vestas,V47-0.66,660,88.4,-101.363792,32.169796000000005,< 1000
3041855,RI,Washington County,Block Island,2016,5,GE Wind,Haliade 150-6,6000,181.1,-71.537651,41.106396000000004,≥ 3000
3014592,OK,Comanche County,Blue Canyon I,2003,45,NEG Micon,NM72,1650,106.1,-98.558495,34.844093,1000 - 2000
3032587,OK,Comanche County,Blue Canyon V,2009,66,GE Wind,GE1.5-77,1500,118.6,-98.498489,34.847095,1000 - 2000
3035044,OH,Van Wert County,Blue Creek,2012,152,Gamesa,G90-2.0,2000,145.1,-84.603798,40.971191,2000 - 3000
3056741,ND,Stark County,Brady Wind I,2016,80,GE Wind,GE1.715-103,1715,131.4,-102.913246,46.646366,1000 - 2000
3053772,NM,Curry County,Broadview Energy JN LLC,2017,43,Siemens,SWT-2.3-108,2300,134.1,-103.158821,34.830063,2000 - 3000
3042420,NE,Custer County,Broken Bow I,2012,50,GE Wind,GE1.6-82.5,1600,121.3,-99.48909,41.432793,1000 - 2000
3034616,SD,Brookings County,Buffalo Ridge II,2010,105,Gamesa,G87-2.0,2000,121.6,-96.67469,44.535191,2000 - 3000
3006953,MN,Lincoln County,Buffalo Ridge Wind,1994,73,Kenetech,33M_VS,360,40.9,-96.26709,44.252392,< 1000
3039291,IL,Vermilion County,California Ridge,2012,134,GE Wind,GE1.62-100,1620,150.0,-87.780495,40.185992999999996,1000 - 2000
3085061,TX,Taylor County,Callahan Divide,2005,76,GE Wind,GE1.5-87,1500,123.4,-100.03944399999999,32.304035,1000 - 2000
3085884,TX,Taylor County,Callahan Divide,2005,76,GE Wind,GE1.5-87,1500,123.4,-99.993172,32.343758,1000 - 2000
3085422,TX,Sterling County,Capricorn Ridge,2007,143,GE Wind,GE1.5-91,1500,125.6,-100.944626,32.014336,1000 - 2000
3033363,WY,Natrona County,Casper Wind Farm,2009,11,GE Wind,GE1.5-77,1500,118.6,-106.230888,42.883595,1000 - 2000
3018686,CO,Weld County,Cedar Creek,2007,53,GE Wind,GE1.5-77,1500,118.6,-104.033493,40.967293,1000 - 2000
3030485,ND,Bowman County,Cedar Hills,2010,13,GE Wind,GE1.5-77,1500,118.6,-103.77059200000001,46.242992,1000 - 2000
3084891,IA,Hamilton County,Century,2005,100,GE Wind,GE1.5-82.5,1500,106.4,-93.66714499999999,42.552956,1000 - 2000
3082876,IA,Wright County,Century,2005,100,GE Wind,GE1.5-82.5,1500,106.4,-93.66409300000001,42.579491,1000 - 2000
3079542,IA,Hamilton County,Century,2005,100,GE Wind,GE1.5-82.5,1500,106.4,-93.65419,42.530491,1000 - 2000
3015311,IA,Hamilton County,Century Expansion,2005,35,Mitsubishi,MWT62/1.0,1000,99.7,-93.651489,42.495391999999995,1000 - 2000
3015298,IA,Hamilton County,Century Expansion,2005,35,Mitsubishi,MWT62/1.0,1000,99.7,-93.663292,42.503693,1000 - 2000
3038756,KS,Gray County,Cimarron I,2012,72,Siemens,SWT-2.3-108,2300,134.1,-100.261993,37.879593,2000 - 3000
3069132,OR,Umatilla County,Combine Hills I,2003,41,Mitsubishi,MWT62/1.0,1000,85.6,-118.588058,45.931183000000004,1000 - 2000
3056934,ND,Stutsman County,Courtenay,2016,100,Vestas,V100-2.0,2000,130.1,-98.554672,47.150139,2000 - 3000
3053165,ND,Stutsman County,Courtenay,2016,100,Vestas,V100-2.0,2000,130.1,-98.553978,47.173077,2000 - 3000
3039244,IL,Bureau County,Crescent Ridge I,2005,33,NEG Micon,NM82,1650,121.0,-89.57069399999999,41.235291,1000 - 2000
3049507,MI,Tuscola County,Cross Winds Energy Park,2014,62,GE Wind,GE1.79-100,1790,146.0,-83.557976,43.602631,1000 - 2000
3049697,MI,Tuscola County,Cross Winds Energy Park,2014,62,GE Wind,GE1.79-100,1790,146.0,-83.438416,43.61861,1000 - 2000
3022927,MT,Fallon County,Diamond Willow Wind,2008,12,GE Wind,GE1.5-77,1500,118.6,-104.19208499999999,46.273891,1000 - 2000
