t_state,p_name,p_year,p_tnum,t_manu,t_model,t_cap,t_ttlh,xlong,ylat,Range
IA,30 MW Iowa DG Portfolio,2017,10,Nordex,AW125/3000,3000,150.0,-93.51589200000001,42.016373,≥ 3000
MA,6th Space Warning Squadron,2013,2,GE Wind,GE1.68-82.5,1680,121.3,-70.541801,41.752491,1000 - 2000
MA,AFCEE MMR Turbines,2011,2,GE Wind,GE1.5-77,1500,118.6,-70.547798,41.75959,1000 - 2000
MA,AFCEE MMR Turbines,2011,2,GE Wind,GE1.5-77,1500,118.6,-70.545303,41.757591,1000 - 2000
IA,AG Land 2,2012,1,GE Wind,GE1.6-82.5,1600,121.3,-93.428093,42.146091,1000 - 2000
IA,AG Land 3,2012,1,GE Wind,GE1.6-82.5,1600,121.3,-93.43199200000001,42.145592,1000 - 2000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.613396,41.467094,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.65979,41.457493,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.67009,41.495193,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.676788,41.452393,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.652596,41.455894,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.647896,41.465393,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.678894,41.443993,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.615791,41.452694,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.689392,41.470192,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.647491,41.443690999999994,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.722794,41.443394,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.61189300000001,41.452892,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.730293,41.442394,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.630989,41.481194,2000 - 3000
IA,Adair,2008,76,Siemens,SWT2.3_93,2300,126.5,-94.683495,41.433803999999995,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.670395,41.434994,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.68339499999999,41.484992999999996,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.654495,41.432995,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.723892,41.463192,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.691689,41.445091,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.655891,41.457294,2000 - 3000
IA,Adair,2008,76,Siemens,SWT-2.3-93,2300,126.5,-94.72659300000001,41.442894,2000 - 3000
